hospital_name,staffed_beds,total_payments,copd_total,copd_ratio,ami_total,ami_ratio,pneumonia_total,pneumonia_ratio,hip_knee_total,hip_knee_ratio,hf_total,hf_ratio
ALASKA REGIONAL HOSPITAL,148,10338783,,0.9980,,0.9554,,0.9718,,0.9682,,0.9550
TUCSON MEDICAL CENTER,556,40678180,747755,1.0278,721776,0.9609,1300971,1.0534,8470982,0.8103,1480792,0.9181
VERDE VALLEY MEDICAL CENTER,110,13484184,751986,0.8626,,0.9668,766417,0.9926,,0.8427,,0.9284
CARONDELET ST JOSEPH'S HOSPITAL,0,20772499,551771,0.9549,,0.9655,796597,1.0837,2377987,0.9810,706741,0.8833
YAVAPAI REGIONAL MEDICAL CENTER,0,21221158,477470,1.0327,787524,0.9304,1017646,0.9941,,0.7998,506643,0.9731
ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,584,27550427,578401,1.0300,,0.9871,543566,1.0075,,0.0000,815407,0.9555
PHOENIX BAPTIST HOSPITAL,260,16528233,,0.9422,,0.9492,,1.0308,,1.0686,,0.9936
BANNER BOSWELL MEDICAL CENTER,501,38438183,1052579,1.0419,581500,1.0364,1329942,0.9275,5750983,0.8085,1559700,0.9092
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,89,6497354,,0.9637,462414,0.9362,,0.8486,,1.0219,,0.9125
BANNER DESERT MEDICAL CENTER,639,29659735,661376,1.1490,,0.9760,876993,1.1330,1818910,0.9498,1058780,1.0653
HAVASU REGIONAL MEDICAL CENTER,168,15145460,630492,1.0050,673220,0.9207,681525,0.9332,3242482,0.9369,888346,1.0073
NORTHWEST MEDICAL CENTER,71,39877644,417903,1.0333,,1.0067,485893,1.0080,4567819,0.9309,593380,0.9111
SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,427,26014097,542837,0.9365,,0.9578,1127307,0.9630,5972663,0.8017,1042969,0.9878
JOHN C LINCOLN DEER VALLEY HOSPITAL,193,12413240,389518,1.0311,,0.9746,657573,0.8951,1255144,0.9669,563049,1.0679
WESTERN ARIZONA REGIONAL MEDICAL CTR,,15451622,1216578,1.0501,,0.9795,623710,1.0659,,1.0692,912070,1.0502
MAYO CLINIC HOSPITAL,268,36491826,,0.9148,,0.9143,1187088,1.0386,5760933,0.8397,1535603,0.9068
BANNER HEART HOSPITAL,111,11164300,,0.9387,460459,0.9481,,1.0565,,0.0000,1424952,0.9059
WASHINGTON REGIONAL MED CTR AT NORTH HILLS,226,23767596,470315,0.9369,,0.9467,893219,0.9113,,0.7418,1241821,0.9195
ST VINCENT INFIRMARY MEDICAL CENTER,0,46891814,588816,1.0296,,0.9207,957713,0.9266,5921374,1.1255,2109049,1.0233
MERCY MEDICAL CENTER,259,130478215,376061,0.9613,462090,0.9783,572317,0.9469,1826126,0.9955,819303,0.8749
ST BERNARDS MEDICAL CENTER,362,40143438,1436544,0.9496,543173,1.0783,1051431,0.9407,3804411,1.1115,1618020,0.9000
"NW ARKANSAS HOSPITALS, LLC",,24140954,1225610,1.0172,577076,1.1326,1001154,1.0262,1122741,1.1189,1351519,0.9864
ST JOSEPHS MERCY HEALTH CENTER INC,0,26699620,767495,0.9722,307704,0.9775,1811260,0.9559,3527552,0.9697,1465151,0.9549
BAXTER REGIONAL MEDICAL CENTER,197,21907507,713915,1.0232,505861,1.0958,1260771,1.1656,,1.1069,1278640,1.0056
CONWAY REGIONAL MEDICAL CENTER,154,15562134,599111,1.0949,,0.9027,1054315,0.9910,,1.0510,430904,0.9289
BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,225,22120524,802054,0.9912,335197,0.9981,1290190,1.1032,,0.9660,1306059,1.2166
ST EDWARD MERCY MEDICAL CENTER,0,24129102,532633,0.8627,368611,0.8995,866690,0.8503,3751237,0.8682,943066,0.9985
NATIONAL PARK MEDICAL CENTER,163,11341713,492589,0.9903,,1.0344,744696,1.1105,,1.3172,851434,1.1878
MEDICAL CENTER SOUTH ARKANSAS,130,9373154,318536,1.0335,,0.9995,520769,0.9697,,1.0303,745835,1.0563
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,695,53710087,1242962,1.0768,647045,0.9032,1757151,1.0300,4021704,1.3177,2347626,0.9725
NEA BAPTIST MEMORIAL HOSPITAL,100,15176526,590037,1.0384,,0.9821,1061765,0.9673,,1.1360,938204,1.0624
WHITE RIVER MEDICAL CENTER,187,18380901,939613,1.0351,,1.1445,972010,1.0636,2054739,1.3020,1208498,1.1007
ARKANSAS HEART HOSPITAL,112,25748822,,0.9607,448320,0.9517,,1.0092,,0.0000,1073566,0.9866
ST JOSEPH HOSPITAL,379,95612642,433831,0.9037,614193,0.9282,677163,0.8261,1840365,0.7762,1001668,0.8978
ST HELENA HOSPITAL,0,25954164,,0.9376,,0.9260,,1.0028,,0.9165,584845,0.9059
MERCY GENERAL HOSPITAL,304,35551861,578871,1.0692,,0.9753,,0.9756,,0.7774,1246086,0.9146
RIVERSIDE COMMUNITY HOSPITAL,373,36406048,982881,1.0931,612261,1.0587,1469609,1.0949,1627194,0.8280,1600630,1.1607
GROSSMONT HOSPITAL,0,52791296,1764430,1.0028,,0.9902,1635495,1.0221,3514948,0.9493,2743577,0.9603
BAKERSFIELD MEMORIAL HOSPITAL,426,23314928,1142743,1.0078,,1.0826,917775,1.0110,,1.0088,1313687,1.0910
ENLOE MEDICAL CENTER,298,43673002,1809064,1.1299,904107,1.0744,2279491,1.1068,3617512,1.3923,1259965,1.0423
KAWEAH DELTA MEDICAL CENTER,581,49731086,1236266,0.9955,714511,0.9870,2897451,0.8435,4026149,0.9029,2492229,0.9592
SCRIPPS MERCY HOSPITAL,589,58591836,1493230,0.9981,,0.9034,2189745,1.0275,3840598,1.0685,3046402,1.1203
ST JOHNS REGIONAL MEDICAL CENTER,265,25848636,631365,0.9631,,1.0396,1421418,1.0232,,1.2349,1633371,0.8656
ST JOSEPHS MEDICAL CENTER OF STOCKTON,359,44256049,1340546,1.0131,792837,0.9501,2003087,0.9752,,0.9578,2217045,0.9873
SAINT AGNES MEDICAL CENTER,436,71191856,2182773,1.0143,1081836,0.9389,3455853,1.1458,6062671,0.8798,4837244,1.0608
SAN ANTONIO COMMUNITY HOSPITAL,279,20960229,500662,0.9375,,0.9470,1374453,0.8467,1567371,1.1330,1364876,1.0045
MARIAN REGIONAL MEDICAL CENTER,286,21918502,637145,0.9755,,0.9388,,0.8280,,0.7372,,0.9539
SUTTER GENERAL HOSPITAL,0,60831076,1341537,1.0583,1431662,0.9136,943527,0.9653,8174776,0.6262,2431705,0.9800
TRI-CITY MEDICAL CENTER,355,26026245,1044475,1.0261,,0.9383,904691,0.9649,2785521,0.9851,1003449,0.9766
RIDEOUT MEMORIAL HOSPITAL,277,42134063,1798897,1.0546,1341065,1.0508,2687146,1.0870,,1.0012,2377618,0.9582
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,216,33689220,1063289,0.9454,,0.8668,1576371,0.9152,5076457,0.9001,1167038,0.7783
ST JUDE MEDICAL CENTER,362,27393606,653396,1.0432,,0.9518,979252,0.9489,2643678,0.7698,1420215,0.9250
SANTA ROSA MEMORIAL HOSPITAL,278,38647326,1033949,0.9687,720755,0.8225,1175111,0.8204,5667332,0.7511,1711970,0.8420
WASHINGTON HOSPITAL,299,47407738,1611982,1.1178,,1.1520,2026413,1.1257,,0.7504,2630106,1.1418
SEQUOIA HOSPITAL,189,17680346,,0.9110,,0.9136,680564,1.0040,,0.8485,1444158,0.9427
SHARP CHULA VISTA MEDICAL CENTER,343,28774006,940339,0.9146,,0.9623,1176503,0.8782,,1.2331,2829507,0.9123
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,0,40184756,651415,0.9663,610282,0.8767,1219270,0.9915,776720,0.8823,961195,0.9346
FEATHER RIVER HOSPITAL,100,15384638,,0.9209,,0.9076,974939,0.9119,3220231,1.1311,895162,0.8957
FRENCH HOSPITAL MEDICAL CENTER,112,10825552,,0.9584,,0.8900,361807,0.8601,,0.8982,608702,1.0082
PROVIDENCE SAINT JOSEPH MEDICAL CTR,340,46593786,1582439,1.0184,,1.0470,1371542,1.0950,3139608,0.8918,2989252,0.9672
GLENDALE ADVENTIST MEDICAL CENTER,498,49341201,1384875,0.9738,,1.0902,2314184,1.1019,3366925,0.8635,2435745,1.0665
RONALD REAGAN UCLA MEDICAL CENTER,466,51910605,,1.0511,,1.1357,,1.0330,,0.0000,2596524,0.9926
MERCY MEDICAL CENTER REDDING,267,48179997,835120,0.9125,,0.8618,1984175,0.8492,7237566,0.8238,2421158,0.7808
SAINT JOHN'S HEALTH CENTER,266,35148946,453366,0.9475,,0.9273,1335083,0.9606,10516843,0.6350,1118627,1.0860
MERCY HOSPITAL,343,94954254,781242,1.0306,425972,0.9909,924907,1.0704,1929647,0.7343,707251,1.0347
EL CAMINO HOSPITAL,0,39604766,830299,0.9813,,0.9614,1234094,0.9968,6418461,1.0782,1831962,0.9044
SCRIPPS MEMORIAL HOSPITAL LA JOLLA,332,23180045,,0.8824,,0.8944,644579,1.1513,,0.7490,986397,0.9639
SALINAS VALLEY MEMORIAL HOSPITAL,251,37666479,1325984,1.0516,,0.9396,1418729,0.9360,,0.7611,2094821,0.9256
SONORA REGIONAL MEDICAL CENTER,152,17541444,,0.8926,529276,1.0052,,0.9247,3541581,0.9397,,0.8634
TORRANCE MEMORIAL MEDICAL CENTER,352,36845441,764889,1.0240,,1.0224,1480983,1.0592,3702919,0.9158,1974294,1.0145
MARIN GENERAL HOSPITAL,235,30742503,627072,0.9193,602186,0.8837,1197046,0.8727,,1.0471,1197015,1.0147
CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,518,44630316,1761504,0.9546,1050281,1.0359,1366549,0.9051,,0.9024,3027423,1.0592
HEMET VALLEY MEDICAL CENTER,417,20307740,1635037,1.1091,782731,0.8903,1304549,0.9868,,0.9442,1211241,1.0333
COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,201,18870117,531658,0.9695,,0.8532,596349,0.9561,2577590,0.9404,847455,0.9117
SANTA BARBARA COTTAGE HOSPITAL,356,32546986,493507,0.9044,,0.9128,1179141,0.9203,,1.0357,1301327,0.8234
HUNTINGTON MEMORIAL HOSPITAL,548,53660431,1367425,0.9756,,1.1164,1747193,0.9865,6022583,0.8168,1488479,0.9301
STANFORD HOSPITAL,466,86030642,996597,0.9658,,0.9129,2564724,1.1017,14631484,0.8541,3601549,1.0436
UCSF MEDICAL CENTER,0,65236327,928034,1.0390,,1.0590,2231712,1.0522,,1.0649,2824770,1.0028
DOCTORS MEDICAL CENTER,0,34040604,1349506,0.9828,743220,1.0013,1151829,1.0165,,1.1687,2051849,1.1261
WEST HILLS HOSPITAL & MEDICAL CENTER,225,23696443,493595,1.0145,,1.0068,1001489,1.0256,2039182,0.7240,924661,0.9700
LONG BEACH MEMORIAL MEDICAL CENTER,462,40990271,1163595,0.9097,,1.1336,1231676,1.0012,,0.9399,1946507,0.9557
JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,255,33182643,1170428,0.9902,,0.9657,,0.8858,,1.0252,1758503,0.8649
MERCY SAN JUAN MEDICAL CENTER,370,47880662,1299543,0.9989,,1.0046,1323673,1.1344,3998458,0.9947,2581550,1.1404
MEMORIAL  MEDICAL CENTER,423,40413080,1493701,1.0829,,0.9640,1852592,0.9666,,0.9652,1510879,0.9666
EISENHOWER MEDICAL CENTER,380,49996921,965222,0.9182,923602,0.9277,2126277,0.8636,6215806,0.7325,2007775,0.8114
SADDLEBACK MEMORIAL MEDICAL CENTER,0,25691839,1009194,0.9578,,0.9894,991565,0.9307,2363293,0.8278,1539403,0.9994
CEDARS-SINAI MEDICAL CENTER,896,156664696,2447229,0.9815,1735572,0.9719,3785756,0.9798,14194798,1.0476,8196274,0.9645
FRESNO HEART AND SURGICAL HOSPITAL,57,3138468,,0.0000,,0.9498,,0.0000,,0.0000,,0.8939
ALVARADO HOSPITAL MEDICAL CENTER,304,19605818,623409,0.9122,,1.0128,812719,1.0157,,0.9565,826849,0.8846
PROVIDENCE TARZANA MEDICAL CENTER,249,41236027,1079969,1.0091,,0.9494,1873146,1.0073,907886,1.1515,2229865,1.0472
SHASTA REGIONAL MEDICAL CENTER,183,31541307,606108,0.9787,,1.0545,,1.0386,2800937,1.1251,,0.9641
NORTH COLORADO MEDICAL CENTER,269,27020005,647747,0.8919,,0.9565,1030795,1.0191,2094211,1.1670,1258248,0.8790
PRESBYTERIAN/ST LUKE'S MEDICAL CENTER,,10769672,,1.0210,,0.8936,,0.9506,3025962,0.7798,,0.9605
PARKVIEW MEDICAL CENTER INC,333,23517330,692714,0.8841,,0.8981,1097503,0.8353,2985834,1.0301,818388,0.8916
UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,0,34019214,668486,0.8587,472346,0.8018,1362602,0.8210,5465767,0.8426,1347288,0.8015
ST MARYS HOSPITAL AND MEDICAL CENTER,306,26733368,544958,0.8856,,0.9383,1013301,0.9368,,0.7758,593111,1.0598
BOULDER COMMUNITY HOSPITAL,167,10006250,,0.9556,,0.9627,490887,0.8890,,1.0652,415167,0.8971
CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,421,31838101,838586,0.9238,390772,0.8462,1481102,0.9659,5387537,0.9543,1133210,0.8591
"MEDICAL CENTER OF AURORA, THE",0,20814479,613008,0.9916,,0.9059,665409,0.9441,1889375,1.1679,794330,0.8916
MEDICAL CENTER OF THE ROCKIES,146,15982236,209767,0.9758,243424,0.9599,469482,0.9475,,1.0274,419820,0.8826
HOSPITAL OF ST RAPHAEL,,59844854,1897450,,,,3559631,,,,3121489,
ST FRANCIS HOSPITAL & MEDICAL CENTER,612,79038516,2268441,0.8929,1035297,1.1102,3057683,0.9505,14355643,0.9839,4654967,1.0391
WATERBURY HOSPITAL,255,33043089,746303,0.9995,875141,1.0666,1230198,0.9527,,0.9986,2023963,1.0735
STAMFORD HOSPITAL,300,25355460,546764,1.0379,,0.8611,1114461,0.9979,2216554,0.8348,1682382,0.9858
SAINT MARYS HOSPITAL,182,30187942,994160,0.9854,,0.9998,1076332,0.9772,,1.0463,1587024,0.9493
MIDSTATE MEDICAL CENTER,144,23329686,1004835,0.9116,622133,1.1257,923390,1.0997,,0.9667,1496131,1.0907
MIDDLESEX HOSPITAL,229,35042276,1323094,1.0381,704311,0.8904,1624990,1.0437,4084354,1.1811,2329900,0.9480
YALE-NEW HAVEN HOSPITAL,1552,114292408,2581829,1.0675,1489911,1.0828,3213956,1.1530,3767475,1.1710,5852959,0.9904
HARTFORD HOSPITAL,864,101105071,1548953,1.0486,2914782,1.0327,4416806,1.0356,7830977,1.0027,5506436,1.0027
ST VINCENT'S MEDICAL CENTER,433,104486503,1854399,1.1428,990746,1.2104,1699387,1.0607,2681126,1.1862,1996776,1.0677
DANBURY HOSPITAL,336,49948315,1607577,1.0330,767563,1.0277,1780900,0.9928,5833686,0.9140,2706115,1.0001
NORWALK HOSPITAL ASSOCIATION,306,32963904,1230091,0.9696,983344,1.0674,1836731,0.9046,2553601,1.0303,2564056,0.9604
"CHRISTIANA CARE HEALTH SERVICES, INC.",0,139189058,4775822,0.9691,1437630,0.9144,5664447,0.9625,15566467,1.0647,7467824,0.9712
BAYHEALTH - KENT GENERAL HOSPITAL,249,34957518,1400599,0.9957,561084,0.8503,2603093,1.0413,2622855,1.0189,2170189,0.9508
BEEBE MEDICAL CENTER,155,31351645,549290,0.8946,555876,0.9452,1564567,1.0616,5147700,0.8670,1513571,0.9131
WASHINGTON HOSPITAL CENTER,,106025640,2223780,1.0887,3432957,0.9696,2739493,1.1089,,1.1375,7632001,1.0454
BETHESDA  HOSPITAL EAST,449,35700495,961467,1.0377,760315,0.9456,1364669,0.9997,,0.8399,1739847,0.9783
ORLANDO HEALTH,,75668463,2423065,0.9840,1197015,1.0268,2579817,0.9769,6055024,1.2281,3520369,1.0151
FLORIDA HOSPITAL,0,186200120,6598907,1.1148,1765300,1.2094,5479020,1.0738,14637681,1.0962,9761748,1.0896
BAPTIST HOSPITAL OF MIAMI INC,680,48074051,1634243,0.9512,1080071,0.9037,2057903,0.9353,4236433,0.7230,3197270,1.0639
LEE MEMORIAL HOSPITAL,835,63312045,2369736,1.0248,1002878,1.0822,1982288,1.0050,10539598,1.0663,3126370,1.0344
HALIFAX HEALTH MEDICAL CENTER,0,32744997,1104754,0.9747,504871,1.0023,1234498,1.0906,3358491,0.8309,1625352,1.0169
NAPLES COMMUNITY HOSPITAL,0,69960364,1742514,0.9287,1309387,0.8957,2637274,0.9324,11750841,0.9804,3264963,0.9144
HOLMES REGIONAL MEDICAL CENTER,514,42539450,1306205,1.0748,717276,1.0157,1560932,1.0221,3959968,1.0024,2114510,1.0886
CITRUS MEMORIAL HOSPITAL,198,25759547,1256255,0.8567,589298,0.8384,832522,0.8139,2363126,1.0241,1635932,0.9266
SACRED HEART HOSPITAL,466,51809591,985582,0.9809,568683,0.9336,1066116,0.9228,3837581,0.8319,1561919,0.9761
BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM,323,36516064,1526935,0.8867,525137,1.0885,1259409,0.9146,1960986,1.0965,2723519,0.8656
PARRISH MEDICAL CENTER,210,13585233,858501,0.8771,,0.9535,608173,0.9482,,0.9540,848777,0.9755
MOUNT SINAI MEDICAL CENTER,590,40938103,1398958,0.9873,1364336,1.0048,1569136,0.9734,1690591,0.9518,1959229,1.0513
MANATEE MEMORIAL HOSPITAL,319,26398160,1497881,0.9774,464532,0.9743,934234,1.0314,2230772,1.0836,1507339,0.9027
MARTIN MEDICAL CENTER,344,38815759,1363173,0.9218,540073,1.0540,1773845,0.9688,4363113,0.9714,2259809,0.9252
FLORIDA HOSPITAL ZEPHYRHILLS,139,16639620,775188,0.9292,,1.1026,449217,0.9307,,1.0165,1012309,1.0024
HIGHLANDS REGIONAL MEDICAL CENTER,126,17258365,926043,1.0423,250392,1.0243,463143,1.2058,,0.9690,777175,1.0372
WINTER HAVEN HOSPITAL,527,30850204,1539897,1.0371,725530,1.0169,1316939,1.0098,,1.2073,1680787,1.0979
FLORIDA HOSPITAL WATERMAN,269,32648906,1536456,1.0521,,1.1502,1351264,0.8874,4245650,0.7940,2145510,1.0700
MUNROE REGIONAL MEDICAL CENTER,421,49601110,816612,1.0282,,0.8672,2422112,0.9666,2556597,1.2770,2633046,0.8755
ST ANTHONY'S HOSPITAL,0,23622845,832815,0.9660,,1.0818,698862,1.0128,1659313,1.2616,1380438,1.0632
FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER,0,25272526,969499,0.9010,,0.9645,824890,1.0205,3167583,0.7950,1639170,0.9351
VENICE REGIONAL MEDICAL CENTER,,31250691,993052,0.9140,947820,0.8458,864444,0.9466,4684523,0.8228,1474952,0.8018
BROOKSVILLE REGIONAL HOSPITAL,,17646213,1038345,0.9443,,1.1232,681028,1.0034,1590370,0.8925,1107815,1.0794
HOLY CROSS HOSPITAL INC,559,31840491,863500,1.0070,538437,1.0096,959891,0.9612,6527923,0.6829,1584829,1.0555
ST JOSEPH'S HOSPITAL,986,81236833,1828563,1.0742,988568,0.9634,2025522,1.0504,3204639,1.3338,2867523,1.1323
PEACE RIVER REGIONAL MEDICAL CENTER,,22998120,1278640,1.0841,,1.0483,880574,1.0630,2662458,1.0778,1309046,1.0537
JFK MEDICAL CENTER,448,47991422,1466352,1.0693,1094684,1.0916,1459116,1.0170,3925027,1.0664,2746560,1.0877
LEESBURG REGIONAL MEDICAL CENTER,316,37125756,1536905,1.0050,1006429,1.1076,1162306,1.0039,4432502,1.2479,2538283,1.0787
SARASOTA MEMORIAL HOSPITAL,612,50443174,1019207,0.8084,1201001,0.8015,1606429,0.8374,6629058,0.7459,2446765,0.8500
BAPTIST MEDICAL CENTER,1422,140398066,890261,0.9519,654819,0.9389,2212003,1.0058,4602028,0.7753,2844504,0.9811
FLAGLER HOSPITAL,335,36760205,1683140,0.9040,787927,0.9199,1613884,0.9869,3628318,0.9004,1742523,0.9975
WUESTHOFF MEDICAL CENTER  ROCKLEDGE,298,18748444,1152212,0.9869,,1.1941,684434,0.9068,,0.8560,1125468,1.1049
BAPTIST HOSPITAL,514,51326575,830028,0.9535,,1.0279,684508,0.9514,2459715,0.8538,1463419,0.9943
INDIAN RIVER MEDICAL CENTER,336,37329731,841617,0.9282,816793,1.0008,1243726,0.8233,6347855,0.8697,1787681,0.9281
FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,197,29606610,2150557,1.0765,636187,0.9690,1180824,1.0300,2473575,1.0309,1778706,0.8811
OSCEOLA REGIONAL MEDICAL CENTER,321,24711273,1205525,1.1377,563177,1.0511,843560,1.1117,,1.1984,1578476,1.1459
SHANDS HOSPITAL AT THE UNIVERSITY OF FLORIDA,,81456903,2453954,0.9690,1111072,0.9637,1616116,1.0205,4425452,1.0474,3856502,1.1086
FLORIDA HOSPITAL FLAGLER,99,17712409,661354,1.0100,,1.1020,797808,0.9163,,0.9732,1176520,1.0244
PALMS OF PASADENA HOSPITAL,307,8292691,452674,0.9762,,1.0301,529595,0.9422,1363801,1.0824,,1.0026
MORTON PLANT HOSPITAL,623,38755665,1146564,1.0714,887070,0.9207,999673,0.9717,5790621,0.8646,1977103,0.9157
TAMPA GENERAL HOSPITAL,947,58432968,1132794,0.9349,,1.0334,1219839,0.9885,6026432,0.8877,2083147,0.9448
TALLAHASSEE MEMORIAL HEALTHCARE,,28146148,687014,0.9181,736940,0.9532,690445,0.9163,2801185,0.8552,1591885,0.8126
MAYO CLINIC,249,37580740,698826,1.0219,,0.9262,1015778,1.0693,6611857,0.8805,2043149,1.0659
"SOUTH MIAMI HOSPITAL, INC",458,13839626,,0.9557,,0.9614,574392,0.9410,,0.8310,1154315,0.9622
LAKELAND REGIONAL MEDICAL CENTER,851,54961425,2552432,1.0078,1011906,1.0471,1946857,0.9750,4847958,1.0978,3133930,1.0903
CENTRAL FLORIDA REGIONAL HOSPITAL,221,14789109,597147,0.9902,504405,0.9803,423408,1.0845,1133947,1.0753,1459750,1.0824
DOCTORS HOSPITAL OF SARASOTA,155,17627460,394557,0.9767,250902,0.9333,420108,0.8779,5659403,0.9555,801138,1.0156
BOCA RATON REGIONAL HOSPITAL,366,42943961,1116545,1.0662,,1.0240,1730677,0.8963,3681433,0.9316,2597618,0.9270
FLORIDA HOSPITAL TAMPA,475,30312462,1003560,1.0324,,1.0811,1017769,1.1838,3102621,0.9452,1652826,1.0200
PALM BEACH GARDENS MEDICAL CENTER,199,22851603,582616,0.9948,,0.9700,822312,1.0341,1565640,1.2322,1242246,0.9084
MEMORIAL HOSPITAL JACKSONVILLE,0,34894750,1441347,0.9923,481379,1.1649,1211290,1.0913,1154863,1.1599,2002560,1.0594
MEDICAL CENTER OF TRINITY,282,18132526,1078860,1.0466,579503,1.0360,525245,1.0063,,1.1655,961661,1.0941
NORTH FLORIDA REGIONAL MEDICAL CENTER,414,61481847,2090591,1.1066,740579,1.0853,2003739,0.9875,5309292,0.8474,3898012,0.9986
OCALA REGIONAL MEDICAL CENTER,270,38541096,1312865,0.9198,898659,1.0175,1315882,0.9508,7787922,0.7747,1514370,0.9680
BLAKE MEDICAL CENTER,383,27832061,991579,1.0510,690239,1.0032,587876,0.9361,4111210,0.8620,1363218,0.9714
GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM,196,50509755,1553457,1.0094,701074,0.9648,1711760,1.0068,4525393,1.0922,2481785,1.0850
FORT WALTON BEACH MEDICAL CENTER,257,21275985,844516,1.0475,337926,1.0227,720446,1.0415,,1.0678,1110129,0.9572
ORANGE PARK MEDICAL CENTER,297,30547477,1477520,0.9343,582564,0.9457,1418000,0.9285,2044534,1.0333,1853227,1.0135
WEST FLORIDA HOSPITAL,515,26099197,1003187,0.9528,,1.0021,832538,0.9899,2103844,0.9547,1550559,1.0171
PUTNAM COMMUNITY MEDICAL CENTER,99,11435123,1057820,0.9366,,0.9609,544478,0.9491,,0.9195,945908,1.0632
FAWCETT MEMORIAL HOSPITAL,237,30879012,1211088,0.9343,771282,0.9739,1077046,1.0792,2704926,0.8826,1695582,1.0295
NORTHSIDE HOSPITAL,220,25421726,871549,1.0807,,1.1533,631966,1.1819,,1.0711,1077902,1.0902
GULF COAST MEDICAL CENTER,64,22335465,847970,0.9341,,1.0697,828397,0.8984,3285660,1.0472,722889,0.9305
BRANDON REGIONAL HOSPITAL,398,27810042,1201135,0.9694,576256,0.9554,838856,1.1103,1231119,1.0316,1536035,0.9869
CAPE CORAL HOSPITAL,291,27155354,1707581,0.9573,406952,1.1304,1001719,1.0624,2387739,0.9700,1677073,0.9816
