state,state_abbreviation,organization_name,enrolled,total_state_ma_enrollment,market_share_in_state
Arizona,AZ,SCAN HEALTH PLAN ARIZONA,17686,401201,0.044
Arizona,AZ,"CAREMORE HEALTH PLAN OF ARIZONA, INC.",15310,401201,0.038
Arizona,AZ,"PHOENIX HEALTH PLANS, INC.",9064,401201,0.023
Arizona,AZ,UNITEDHEALTHCARE INSURANCE COMPANY,8659,401201,0.022
Arizona,AZ,"HEALTH CHOICE ARIZONA, INC.",6408,401201,0.016
Arizona,AZ,AETNA LIFE INSURANCE COMPANY,3574,401201,0.009
Arizona,AZ,"WELLCARE OF TEXAS, INC.",2387,401201,0.006
Arizona,AZ,BLUE CROSS BLUE SHIELD OF MICHIGAN,2157,401201,0.005
Arizona,AZ,"AETNA HEALTH, INC. (PA)",2041,401201,0.005
Arizona,AZ,ONECARE BY CARE1ST HEALTH PLAN ARIZONA INC.,1952,401201,0.005
Arizona,AZ,BRIDGEWAY HEALTH SOLUTIONS,1247,401201,0.003
Arizona,AZ,"KAISER FOUNDATION HP, INC.",770,401201,0.002
Arizona,AZ,MARICOPA COUNTY SPECIAL HEALTH CARE DISTRICT,744,401201,0.002
Arizona,AZ,"HIGHMARK, INC.",444,401201,0.001
Arizona,AZ,BLUE CROSS AND BLUE SHIELD OF MINNESOTA,148,401201,0.000
Arizona,AZ,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,147,401201,0.000
Arizona,AZ,SANTE FE EMPLOYEES HOSPITAL ASSOCIATION,81,401201,0.000
Arizona,AZ,SCAN HEALTH PLAN,79,401201,0.000
Arizona,AZ,"BLUE CROSS AND BLUE SHIELD OF GEORGIA, INC.",76,401201,0.000
Arizona,AZ,ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY,68,401201,0.000
Arizona,AZ,"ANTHEM INSURANCE COMPANIES, INC.",65,401201,0.000
Arizona,AZ,CONSOLIDATED ASSOC OF RAILROAD EMPLOYEES HC,54,401201,0.000
Arizona,AZ,KAISER FOUNDATION HP OF CO,49,401201,0.000
Arizona,AZ,KAISER FOUNDATION HP OF THE N W,43,401201,0.000
Arizona,AZ,MEDICA INSURANCE COMPANY,38,401201,0.000
Arizona,AZ,"HEALTH NET OF CALIFORNIA,INC.",37,401201,0.000
Arizona,AZ,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",36,401201,0.000
Arizona,AZ,HEALTH NET LIFE INSURANCE COMPANY,25,401201,0.000
Arizona,AZ,"UHC OF CALIFORNIA, INC.",23,401201,0.000
Arizona,AZ,"GROUP HEALTH PLAN, INC. (MN)",23,401201,0.000
Arizona,AZ,HEALTHNOW NEW YORK INC.,21,401201,0.000
Arizona,AZ,REGENCE BLUECROSS BLUESHIELD OF OREGON,20,401201,0.000
Arizona,AZ,CALIFORNIA PHYSICIANS' SERVICE,20,401201,0.000
Arizona,AZ,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,19,401201,0.000
Arizona,AZ,"HUMANA MEDICAL PLAN, INC.",16,401201,0.000
Arizona,AZ,NEW WEST HEALTH SERVICES,13,401201,0.000
Arizona,AZ,"SOUNDPATH HEALTH, INC.",13,401201,0.000
Arizona,AZ,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.",12,401201,0.000
Arizona,AZ,"MVP HEALTH PLAN, INC.",12,401201,0.000
Arizona,AZ,REGENCE BLUESHIELD,11,401201,0.000
Arizona,AZ,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,11,401201,0.000
Arkansas,AR,"HUMANA HEALTH PLAN, INC.",29142,109650,0.266
Arkansas,AR,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,27254,109650,0.249
Arkansas,AR,USABLE MUTUAL INSURANCE COMPANY,19071,109650,0.174
Arkansas,AR,HUMANA INSURANCE COMPANY,11636,109650,0.106
Arkansas,AR,"WINDSOR HEALTH PLAN, INC.",8795,109650,0.080
Arkansas,AR,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,4873,109650,0.044
Arkansas,AR,UNITEDHEALTHCARE INSURANCE COMPANY,3195,109650,0.029
Arkansas,AR,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",1869,109650,0.017
Arkansas,AR,AETNA LIFE INSURANCE COMPANY,980,109650,0.009
Arkansas,AR,"COVENTRY HEALTH CARE OF KANSAS, INC.",870,109650,0.008
Arkansas,AR,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,710,109650,0.006
Arkansas,AR,THE PYRAMID LIFE INSURANCE COMPANY,594,109650,0.005
Arkansas,AR,"HMO PARTNERS, INC.",327,109650,0.003
Arkansas,AR,BLUE CROSS BLUE SHIELD OF MICHIGAN,106,109650,0.001
Arkansas,AR,TOTAL LIFE HEALTHCARE,96,109650,0.001
Arkansas,AR,CIGNA HEALTH AND LIFE INSURANCE COMPANY,62,109650,0.001
Arkansas,AR,"HIGHMARK, INC.",48,109650,0.000
Arkansas,AR,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,22,109650,0.000
California,CA,"KAISER FOUNDATION HP, INC.",935100,2060949,0.454
California,CA,"UHC OF CALIFORNIA, INC.",327707,2060949,0.159
California,CA,SCAN HEALTH PLAN,150818,2060949,0.073
California,CA,"HEALTH NET OF CALIFORNIA,INC.",148077,2060949,0.072
California,CA,CALIFORNIA PHYSICIANS' SERVICE,80454,2060949,0.039
California,CA,EASY CHOICE HEALTH PLAN INC.,59553,2060949,0.029
California,CA,CAREMORE HEALTH PLAN,51289,2060949,0.025
California,CA,CARE1ST HEALTH PLAN,36140,2060949,0.018
California,CA,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.",34988,2060949,0.017
California,CA,ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY,33916,2060949,0.016
California,CA,"INTER VALLEY HEALTH PLAN, INC.",20810,2060949,0.010
California,CA,AETNA HEALTH OF CALIFORNIA INC.,20622,2060949,0.010
California,CA,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.",16629,2060949,0.008
California,CA,ORANGE COUNTY HEALTH AUTHORITY,16068,2060949,0.008
California,CA,CITIZENS CHOICE HEALTHPLAN,13382,2060949,0.006
California,CA,IEHP HEALTH ACCESS,11418,2060949,0.006
California,CA,UNITEDHEALTHCARE INSURANCE COMPANY,10624,2060949,0.005
California,CA,CHINESE COMMUNITY HEALTH PLAN,8814,2060949,0.004
California,CA,SAN MATEO HEALTH COMMISSION,8762,2060949,0.004
California,CA,BLUE CROSS OF CALIFORNIA,8580,2060949,0.004
California,CA,MOLINA HEALTHCARE OF CALIFORNIA,8518,2060949,0.004
California,CA,PARTNERSHIP HEALTHPLAN OF CALIFORNIA,8272,2060949,0.004
California,CA,GEMCARE HEALTH PLAN INC.,8108,2060949,0.004
California,CA,LOCAL INITIATIVE HEALTH AUTHORITY FOR L.A. COUNTY,6815,2060949,0.003
California,CA,ALAMEDA ALLIANCE JOINT POWERS AUTHORITY (JPA),6503,2060949,0.003
California,CA,AETNA LIFE INSURANCE COMPANY,6076,2060949,0.003
California,CA,HEALTH NET LIFE INSURANCE COMPANY,4167,2060949,0.002
California,CA,"UNIVERSAL CARE, INC.",3780,2060949,0.002
California,CA,BLUE CROSS BLUE SHIELD OF MICHIGAN,1892,2060949,0.001
California,CA,GOLDEN STATE MEDICARE HEALTH PLAN,1816,2060949,0.001
California,CA,HUMANA INSURANCE COMPANY,1692,2060949,0.001
California,CA,COMMUNITY HEALTH GROUP,1213,2060949,0.001
California,CA,ON LOK SENIOR HEALTH SERVICES,1171,2060949,0.001
California,CA,ALTAMED HEALTH SERVICES CORPORATION,1146,2060949,0.001
California,CA,"HIGHMARK, INC.",857,2060949,0.000
California,CA,"ANTHEM INSURANCE COMPANIES, INC.",818,2060949,0.000
California,CA,AIDS HEALTHCARE FOUNDATION,805,2060949,0.000
California,CA,CENTER FOR ELDERS INDEPENDENCE,485,2060949,0.000
California,CA,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,461,2060949,0.000
California,CA,THE CONTRA COSTA HEALTH PLAN,460,2060949,0.000
California,CA,ASPIRE HEALTH PLAN,384,2060949,0.000
California,CA,COMMUNITY ELDERCARE OF SAN DIEGO,287,2060949,0.000
California,CA,REGENCE BLUECROSS BLUESHIELD OF OREGON,246,2060949,0.000
California,CA,SUTTER HEALTH SACRAMENTO SIERRA REGION,239,2060949,0.000
California,CA,SANTE FE EMPLOYEES HOSPITAL ASSOCIATION,207,2060949,0.000
California,CA,"HUMANA HEALTH PLAN, INC.",162,2060949,0.000
California,CA,KAISER FOUNDATION HP OF THE N W,103,2060949,0.000
California,CA,"BLUE CROSS AND BLUE SHIELD OF GEORGIA, INC.",64,2060949,0.000
California,CA,LOS ANGELES JEWISH HOME FOR THE AGING,59,2060949,0.000
California,CA,"SATELLITE HEALTH PLAN, INC.",39,2060949,0.000
California,CA,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,37,2060949,0.000
California,CA,HAWAII MEDICAL SERVICE ASSOCIATION,36,2060949,0.000
California,CA,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",35,2060949,0.000
California,CA,KAISER FOUNDATION HP OF CO,30,2060949,0.000
California,CA,"HUMANA MEDICAL PLAN, INC.",30,2060949,0.000
California,CA,"CIGNA HEALTHCARE OF ARIZONA, INC.",26,2060949,0.000
California,CA,SCAN HEALTH PLAN ARIZONA,24,2060949,0.000
California,CA,CONSOLIDATED ASSOC OF RAILROAD EMPLOYEES HC,17,2060949,0.000
California,CA,"HEALTH PLAN OF NEVADA, INC.",17,2060949,0.000
California,CA,CAREMORE HEALTH PLAN OF NEVADA,16,2060949,0.000
California,CA,"HEALTH NET OF ARIZONA, INC.",14,2060949,0.000
California,CA,"CAREMORE HEALTH PLAN OF ARIZONA, INC.",14,2060949,0.000
California,CA,"KAISER FOUNDATION HP OF GA, INC.",12,2060949,0.000
California,CA,"ARIZONA PHYSICIANS IPA, INC.",12,2060949,0.000
California,CA,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",11,2060949,0.000
California,CA,HEALTHNOW NEW YORK INC.,11,2060949,0.000
California,CA,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,11,2060949,0.000
Colorado,CO,"PACIFICARE OF COLORADO, INC",94969,266475,0.356
Colorado,CO,KAISER FOUNDATION HP OF CO,88158,266475,0.331
Colorado,CO,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,24129,266475,0.091
Colorado,CO,HUMANA INSURANCE COMPANY,19869,266475,0.075
Colorado,CO,"HUMANA HEALTH PLAN, INC.",15043,266475,0.056
Colorado,CO,UNITEDHEALTHCARE INSURANCE COMPANY,8237,266475,0.031
Colorado,CO,"DENVER HEALTH MEDICAL PLAN, INC.",3939,266475,0.015
Colorado,CO,COLORADO ACCESS,3435,266475,0.013
Colorado,CO,AETNA LIFE INSURANCE COMPANY,2328,266475,0.009
Colorado,CO,"TOTAL LONGTERM CARE, INC.",1877,266475,0.007
Colorado,CO,"AETNA HEALTH, INC. (PA)",1557,266475,0.006
Colorado,CO,COLORADO CHOICE HEALTH PLANS,752,266475,0.003
Colorado,CO,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,683,266475,0.003
Colorado,CO,BLUE CROSS BLUE SHIELD OF MICHIGAN,456,266475,0.002
Colorado,CO,VOLUNTEERS OF AMERICA NATIONAL SERVICES,227,266475,0.001
Colorado,CO,ROCKY MOUNTAIN HEALTH CARE SERVICES,165,266475,0.001
Colorado,CO,"ANTHEM INSURANCE COMPANIES, INC.",164,266475,0.001
Colorado,CO,"HIGHMARK, INC.",135,266475,0.001
Colorado,CO,"KAISER FOUNDATION HP, INC.",120,266475,0.000
Colorado,CO,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,117,266475,0.000
Colorado,CO,CONSOLIDATED ASSOC OF RAILROAD EMPLOYEES HC,87,266475,0.000
Colorado,CO,"BLUE CROSS AND BLUE SHIELD OF GEORGIA, INC.",14,266475,0.000
Colorado,CO,ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY,14,266475,0.000
Connecticut,CT,"CONNECTICARE, INC.",52472,146284,0.359
Connecticut,CT,"OXFORD HEALTH PLANS (CT), INC.",43681,146284,0.299
Connecticut,CT,"AETNA HEALTH, INC. (CT)",20046,146284,0.137
Connecticut,CT,"WELLCARE OF CONNECTICUT, INC.",9211,146284,0.063
Connecticut,CT,UNITEDHEALTHCARE INSURANCE COMPANY,9169,146284,0.063
Connecticut,CT,AETNA LIFE INSURANCE COMPANY,7933,146284,0.054
Connecticut,CT,"ANTHEM HEALTH PLANS, INC.",2166,146284,0.015
Connecticut,CT,"ANTHEM INSURANCE COMPANIES, INC.",497,146284,0.003
Connecticut,CT,"HIGHMARK, INC.",449,146284,0.003
Connecticut,CT,HUMANA INSURANCE COMPANY,401,146284,0.003
Connecticut,CT,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",64,146284,0.000
Connecticut,CT,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,42,146284,0.000
Connecticut,CT,"MMM HEALTHCARE, INC.",32,146284,0.000
Connecticut,CT,FALLON COMMUNITY HEALTH PLAN,28,146284,0.000
Connecticut,CT,BLUE CROSS BLUE SHIELD OF MICHIGAN,28,146284,0.000
Connecticut,CT,AULTCARE INSURANCE COMPANY,27,146284,0.000
Connecticut,CT,"MANAGED HEALTH, INC.",16,146284,0.000
Connecticut,CT,"HUMANA HEALTH PLANS OF PUERTO RICO, INC.",11,146284,0.000
Connecticut,CT,HEALTH INSURANCE PLAN OF GREATER NEW YORK,11,146284,0.000
Delaware,DE,"BRAVO HEALTH MID-ATLANTIC, INC.",5076,12786,0.397
Delaware,DE,"AETNA HEALTH, INC. (PA)",3557,12786,0.278
Delaware,DE,AETNA LIFE INSURANCE COMPANY,2070,12786,0.162
Delaware,DE,UNITEDHEALTHCARE INSURANCE COMPANY,1285,12786,0.101
Delaware,DE,HUMANA INSURANCE COMPANY,533,12786,0.042
Delaware,DE,"HIGHMARK, INC.",129,12786,0.010
Delaware,DE,"LIFE AT ST. FRANCIS HEALTHCARE, INC.",58,12786,0.005
Delaware,DE,"BRAVO HEALTH PENNSYLVANIA, INC.",30,12786,0.002
Delaware,DE,"KEYSTONE HEALTH PLAN EAST, INC.",17,12786,0.001
Delaware,DE,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",17,12786,0.001
Delaware,DE,KAISER FNDN HP OF THE MID-ATLANTIC STS,14,12786,0.001
District of Columbia,DC,KAISER FNDN HP OF THE MID-ATLANTIC STS,5629,9685,0.581
District of Columbia,DC,UNITEDHEALTHCARE INSURANCE COMPANY,1688,9685,0.174
District of Columbia,DC,"BRAVO HEALTH MID-ATLANTIC, INC.",1349,9685,0.139
District of Columbia,DC,"AETNA HEALTH, INC. (PA)",346,9685,0.036
District of Columbia,DC,AETNA LIFE INSURANCE COMPANY,287,9685,0.030
District of Columbia,DC,"MEDSTAR FAMILY CHOICE, INC.",211,9685,0.022
District of Columbia,DC,"AMERIHEALTH DISTRICT OF COLUMBIA, INC.",104,9685,0.011
District of Columbia,DC,HUMANA INSURANCE COMPANY,35,9685,0.004
District of Columbia,DC,BLUE CROSS BLUE SHIELD OF MICHIGAN,22,9685,0.002
District of Columbia,DC,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,14,9685,0.001
Florida,FL,"HUMANA MEDICAL PLAN, INC.",310489,1437735,0.216
Florida,FL,UNITEDHEALTHCARE INSURANCE COMPANY,195778,1437735,0.136
Florida,FL,HUMANA INSURANCE COMPANY,113055,1437735,0.079
Florida,FL,"WELLCARE OF FLORIDA, INC.",83310,1437735,0.058
Florida,FL,"CAREPLUS HEALTH PLANS, INC.",79272,1437735,0.055
Florida,FL,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",71745,1437735,0.050
Florida,FL,"PHYSICIANS UNITED PLAN, INC.",49293,1437735,0.034
Florida,FL,"FREEDOM HEALTH PLAN, INC.",47796,1437735,0.033
Florida,FL,HEALTHSPRING OF FLORIDA,44893,1437735,0.031
Florida,FL,PREFERRED CARE PARTNERS INC.,40004,1437735,0.028
Florida,FL,"UNITEDHEALTHCARE OF FLORIDA, INC.",39726,1437735,0.028
Florida,FL,"OPTIMUM HEALTHCARE, INC.",38832,1437735,0.027
Florida,FL,"COVENTRY SUMMIT HEALTH PLAN, INC.",33677,1437735,0.023
Florida,FL,"MEDICA HEALTHCARE PLANS, INC.",32370,1437735,0.023
Florida,FL,"HEALTH OPTIONS, INC.",31407,1437735,0.022
Florida,FL,"AVMED, INC.",30459,1437735,0.021
Florida,FL,HEALTH FIRST HEALTH PLANS,25328,1437735,0.018
Florida,FL,"SIMPLY HEALTHCARE PLANS, INC.",25147,1437735,0.017
Florida,FL,"HEALTHSUN HEALTH PLANS, INC.",23028,1437735,0.016
Florida,FL,AETNA LIFE INSURANCE COMPANY,22593,1437735,0.016
Florida,FL,CAPITAL HEALTH PLAN,15512,1437735,0.011
Florida,FL,"AETNA HEALTH, INC. (FL)",13476,1437735,0.009
Florida,FL,"FLORIDA HEALTH CARE PLAN, INC.",12999,1437735,0.009
Florida,FL,"HUMANA HEALTH INSURANCE COMPANY OF FLORIDA, INC.",12933,1437735,0.009
Florida,FL,BLUE CROSS BLUE SHIELD OF MICHIGAN,12452,1437735,0.009
Florida,FL,"FLORIDA HEALTHCARE PLUS, INC.",8913,1437735,0.006
Florida,FL,"COVENTRY HEALTH PLAN OF FLORIDA, INC.",4746,1437735,0.003
Florida,FL,"ULTIMATE HEALTH PLANS, INC.",2799,1437735,0.002
Florida,FL,"COVENTRY HEALTH CARE OF FLORIDA, INC.",2794,1437735,0.002
Florida,FL,"HIGHMARK, INC.",2409,1437735,0.002
Florida,FL,"AMERIGROUP FLORIDA, INC.",2258,1437735,0.002
Florida,FL,"BLUE CROSS AND BLUE SHIELD OF GEORGIA, INC.",1415,1437735,0.001
Florida,FL,"AHF MCO OF FLORIDA, INC.",913,1437735,0.001
Florida,FL,"EMPIRE HEALTHCHOICE ASSURANCE, INC.",697,1437735,0.000
Florida,FL,"MOLINA HEALTHCARE OF FLORIDA, INC.",674,1437735,0.000
Florida,FL,"BEHEALTHY AMERICA, INC.",579,1437735,0.000
Florida,FL,"PREFERRED MEDICAL PLAN, INC.",538,1437735,0.000
Florida,FL,HEALTHNOW NEW YORK INC.,475,1437735,0.000
Florida,FL,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,405,1437735,0.000
Florida,FL,"FLORIDA PACE CENTERS, INC.",301,1437735,0.000
Florida,FL,UNITED MINE WORKERS OF AMERICA HLTH & RETIREMENT,299,1437735,0.000
Florida,FL,"MVP HEALTH PLAN, INC.",293,1437735,0.000
Florida,FL,"ANTHEM INSURANCE COMPANIES, INC.",260,1437735,0.000
Florida,FL,"HOPE HOSPICE AND COMMUNITY SERVICES, INC.",240,1437735,0.000
Florida,FL,"MMM HEALTHCARE, INC.",166,1437735,0.000
Florida,FL,"MCS ADVANTAGE, INC.",154,1437735,0.000
Florida,FL,"SUNCOAST PACE, INC.",137,1437735,0.000
Florida,FL,"MANAGED HEALTH, INC.",103,1437735,0.000
Florida,FL,"EXCELLUS HEALTH PLAN, INC.",99,1437735,0.000
Florida,FL,"KAISER FOUNDATION HP, INC.",73,1437735,0.000
Florida,FL,"SUNSHINE STATE HEALTH PLAN, INC.",60,1437735,0.000
Florida,FL,HEALTH INSURANCE PLAN OF GREATER NEW YORK,55,1437735,0.000
Florida,FL,BLUE CROSS AND BLUE SHIELD OF MINNESOTA,51,1437735,0.000
Florida,FL,"HUMANA HEALTH PLANS OF PUERTO RICO, INC.",50,1437735,0.000
Florida,FL,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",43,1437735,0.000
Florida,FL,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,37,1437735,0.000
Florida,FL,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND,17,1437735,0.000
Florida,FL,"MORSE LIFE HOME CARE, INC.",15,1437735,0.000
Florida,FL,KAISER FNDN HP OF THE MID-ATLANTIC STS,14,1437735,0.000
Florida,FL,"HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.",14,1437735,0.000
Florida,FL,"AETNA HEALTH, INC. (NJ)",14,1437735,0.000
Florida,FL,"TRIPLE-S SALUD, INC.",13,1437735,0.000
Florida,FL,"HUMANA HEALTH PLAN, INC.",13,1437735,0.000
Florida,FL,"AMERICAN HEALTH, INC.",13,1437735,0.000
Florida,FL,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,12,1437735,0.000
Georgia,GA,"BLUE CROSS AND BLUE SHIELD OF GEORGIA, INC.",95494,404645,0.236
Georgia,GA,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,94990,404645,0.235
Georgia,GA,HUMANA INSURANCE COMPANY,58356,404645,0.144
Georgia,GA,"HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.",32221,404645,0.080
Georgia,GA,"WELLCARE OF GEORGIA, INC.",27804,404645,0.069
Georgia,GA,"KAISER FOUNDATION HP OF GA, INC.",20534,404645,0.051
Georgia,GA,UNITEDHEALTHCARE INSURANCE COMPANY,20314,404645,0.050
Georgia,GA,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,19212,404645,0.047
Georgia,GA,"UNITEDHEALTHCARE OF GEORGIA, INC.",9495,404645,0.023
Georgia,GA,"PIEDMONT WELLSTAR HEALTHPLANS, INC.",6707,404645,0.017
Georgia,GA,AETNA LIFE INSURANCE COMPANY,6466,404645,0.016
Georgia,GA,AETNA HEALTH INC.(GEORGIA),4395,404645,0.011
Georgia,GA,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",2602,404645,0.006
Georgia,GA,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA,1540,404645,0.004
Georgia,GA,"CIGNA HEALTHCARE OF GEORGIA, INC.",1278,404645,0.003
Georgia,GA,"COVENTRY HEALTH CARE OF GEORGIA, INC.",1028,404645,0.003
Georgia,GA,THE PYRAMID LIFE INSURANCE COMPANY,684,404645,0.002
Georgia,GA,BLUE CROSS BLUE SHIELD OF MICHIGAN,580,404645,0.001
Georgia,GA,"HIGHMARK, INC.",292,404645,0.001
Georgia,GA,SUMMACARE INC.,228,404645,0.001
Georgia,GA,"ANTHEM INSURANCE COMPANIES, INC.",193,404645,0.000
Georgia,GA,"AMGP GEORGIA MANAGED CARE COMPANY, INC.",93,404645,0.000
Georgia,GA,"BLUECROSS BLUESHIELD OF TENNESSEE, INC.",63,404645,0.000
Georgia,GA,"KAISER FOUNDATION HP, INC.",40,404645,0.000
Georgia,GA,AULTCARE INSURANCE COMPANY,13,404645,0.000
Georgia,GA,"HUMANA MEDICAL PLAN, INC.",12,404645,0.000
Georgia,GA,"PEACH STATE HEALTH PLAN, INC.",11,404645,0.000
Hawaii,HI,HAWAII MEDICAL SERVICE ASSOCIATION,46468,107960,0.430
Hawaii,HI,"KAISER FOUNDATION HP, INC.",28544,107960,0.264
Hawaii,HI,UNITEDHEALTHCARE INSURANCE COMPANY,16610,107960,0.154
Hawaii,HI,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.",9886,107960,0.092
Hawaii,HI,HUMANA INSURANCE COMPANY,2651,107960,0.025
Hawaii,HI,"CHA HMO, INC.",1835,107960,0.017
Hawaii,HI,ALOHACARE,1762,107960,0.016
Hawaii,HI,AETNA LIFE INSURANCE COMPANY,175,107960,0.002
Hawaii,HI,BLUE CROSS BLUE SHIELD OF MICHIGAN,29,107960,0.000
Idaho,ID,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",27764,82832,0.335
Idaho,ID,"PACIFICSOURCE COMMUNITY HEALTH PLANS, INC.",20518,82832,0.248
Idaho,ID,UNITEDHEALTHCARE INSURANCE COMPANY,13128,82832,0.158
Idaho,ID,REGENCE BLUE SHIELD OF IDAHO,6699,82832,0.081
Idaho,ID,HUMANA INSURANCE COMPANY,5525,82832,0.067
Idaho,ID,"SELECTHEALTH, INC.",4575,82832,0.055
Idaho,ID,"HUMANA HEALTH PLAN, INC.",3111,82832,0.038
Idaho,ID,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,1084,82832,0.013
Idaho,ID,AETNA LIFE INSURANCE COMPANY,198,82832,0.002
Idaho,ID,REGENCE BLUECROSS BLUESHIELD OF OREGON,106,82832,0.001
Idaho,ID,"KAISER FOUNDATION HP, INC.",88,82832,0.001
Idaho,ID,BLUE CROSS BLUE SHIELD OF MICHIGAN,36,82832,0.000
Illinois,IL,UNITEDHEALTHCARE INSURANCE COMPANY,115544,324018,0.357
Illinois,IL,"HUMANA HEALTH PLAN, INC.",39557,324018,0.122
Illinois,IL,HUMANA INSURANCE COMPANY,30382,324018,0.094
Illinois,IL,AETNA LIFE INSURANCE COMPANY,16030,324018,0.049
Illinois,IL,"HEALTHSPRING OF TENNESSEE, INC.",15722,324018,0.049
Illinois,IL,"COVENTRY HEALTH CARE OF ILLINOIS, INC.",14434,324018,0.045
Illinois,IL,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",14331,324018,0.044
Illinois,IL,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.",13723,324018,0.042
Illinois,IL,HEALTH ALLIANCE MEDICAL PLANS,13012,324018,0.040
