hospital_name,city,state,staffed_beds,total_discharges,patient_days,gross_patient_revenue
CHEROKEE MEDICAL CENTER,Centre,Alabama,45,816,3278,68297
CITIZENS BAPTIST MEDICAL CENTER,Talladega,Alabama,96,2716,8551,155602
CLAY COUNTY HOSPITAL,Ashland,Alabama,129,1430,6488,30506
COMMUNITY HOSPITAL,Tallassee,Alabama,47,1263,5804,49097
COOSA VALLEY MEDICAL CENTER,Sylacauga,Alabama,222,4035,16477,262551
CRENSHAW COMMUNITY HOSPITAL,Luverne,Alabama,49,524,2149,31348
CRESTWOOD MEDICAL CENTER,Huntsville,Alabama,149,9386,38354,1207105
CULLMAN REGIONAL MEDICAL CENTER,Cullman,Alabama,115,6568,21304,357335
D.W. MCMILLAN MEMORIAL HOSPITAL,Brewton,Alabama,49,1903,7886,70665
DALE MEDICAL CENTER,Ozark,Alabama,89,1811,8605,88978
DCH REGIONAL MEDICAL CENTER,Tuscaloosa,Alabama,623,31450,149856,1803977
DECATUR MORGAN HOSPITAL,Decatur,Alabama,245,10616,47075,322428
DECATUR MORGAN HOSPTIAL-PARKWAY CAMPUS,Decatur,Alabama,120,1560,5928,186633
DEKALB REGIONAL MEDICAL CENTER,Fort Payne,Alabama,115,3206,11696,294670
EAST ALABAMA MEDICAL CENTER,Opelika,Alabama,288,14634,63237,546198
EAST ALABAMA MEDICAL CENTER - LANIER,Valley,Alabama,187,2718,12978,90094
ELIZA COFFEE MEMORIAL HOSPITAL,Florence,Alabama,358,10862,53005,655761
ELMORE COMMUNITY HOSPITAL,Wetumpka,Alabama,33,1398,4872,33734
EVERGREEN MEDICAL CENTER,Evergreen,Alabama,44,1721,5333,33326
FAYETTE MEDICAL CENTER,Fayette,Alabama,164,1184,4699,83301
FLOWERS HOSPITAL,Dothan,Alabama,234,11638,57436,1203427
GADSDEN REGIONAL MEDICAL CENTER,Gadsden,Alabama,300,12910,65727,1794555
GEORGIANA HOSPITAL,Georgiana,Alabama,22,654,2071,12364
GREENE COUNTY HOSPITAL,Eutaw,Alabama,86,419,1322,14193
GROVE HILL MEMORIAL HOSPITAL,Grove Hill,Alabama,33,1401,4867,46637
HALE COUNTY HOSPITAL,Greensboro,Alabama,28,372,1190,14845
HELEN KELLER HOSPITAL,Sheffield,Alabama,185,7745,32477,361084
HIGHLANDS MEDICAL CENTER,Scottsboro,Alabama,220,4051,14733,111807
HILL HOSPITAL OF SUMTER COUNTY,York,Alabama,33,632,1473,8961
HUNTSVILLE HOSPITAL,Huntsville,Alabama,870,44166,212477,3827507
JACK HUGHSTON MEMORIAL HOSPITAL,Phenix City,Alabama,66,2464,7633,145119
JACKSON HOSPITAL,Montgomery,Alabama,255,13590,62908,726716
JACKSON MEDICAL CENTER,Jackson,Alabama,35,552,1710,24933
JOHN PAUL JONES HOSPITAL,Camden,Alabama,21,239,722,7868
LAKE MARTIN COMMUNITY HOSPITAL,Dadeville,Alabama,46,745,2233,21907
LAKELAND COMMUNITY HOSPITAL,Haleyville,Alabama,59,1712,5725,44014
LAWRENCE MEDICAL CENTER,Moulton,Alabama,43,925,4157,40327
LV STABLER MEMORIAL HOSPITAL,Greenville,Alabama,57,1159,3746,135633
MADISON HOSPITAL,Madison,Alabama,0,0,0,
MARSHALL MEDICAL CENTER NORTH,Guntersville,Alabama,90,4712,18949,170481
MARSHALL MEDICAL CENTER SOUTH,Boaz,Alabama,204,9479,38225,440016
MEDICAL CENTER BARBOUR,Eufaula,Alabama,47,1269,4814,63288
MEDICAL CENTER ENTERPRISE,Enterprise,Alabama,117,3231,11517,362532
MIZELL MEMORIAL HOSPITAL,Opp,Alabama,59,1080,4235,40050
MOBILE INFIRMARY MEDICAL CENTER,Mobile,Alabama,689,26517,139894,1093313
MONROE COUNTY HOSPITAL,Monroeville,Alabama,49,1077,3555,64846
NORTH BALDWIN INFIRMARY,Bay Minette,Alabama,70,1707,6442,62556
NORTH MISSISSIPPI MEDICAL CENTER - HAMILTON,Hamilton,Alabama,115,749,2326,59256
NORTHPORT MEDICAL CENTER,Northport,Alabama,207,5073,26754,
NORTHWEST MEDICAL CENTER,Winfield,Alabama,71,1714,5465,98981
PICKENS COUNTY MEDICAL CENTER,Carrollton,Alabama,50,758,2957,43191
PRATTVILLE BAPTIST HOSPITAL,Prattville,Alabama,56,2462,9680,167105
PRINCETON BAPTIST,Birmingham,Alabama,303,13568,76493,1353937
PROVIDENCE HOSPITAL,Mobile,Alabama,349,14273,79313,771353
RIVERVIEW REGIONAL MEDICAL CENTER,Gadsden,Alabama,281,5649,33054,863327
RMC ANNISTON,Anniston,Alabama,252,12159,50991,650104
RMC OF JACKSONVILLE,Jacksonville,Alabama,69,1629,6919,156682
RUSSELL MEDICAL CENTER,Alexander City,Alabama,75,3068,11385,190330
RUSSELLVILLE HOSPITAL,Russellville,Alabama,92,1965,6718,93557
SAINT VINCENT'S BIRMINGHAM,Birmingham,Alabama,442,20369,108578,1416204
SAINT VINCENT'S BLOUNT,Oneonta,Alabama,40,1118,4255,98124
SAINT VINCENT'S EAST,Birmingham,Alabama,311,14380,75795,907055
SAINT VINCENT'S SAINT CLAIR,Pell City,Alabama,40,2181,9169,160472
SHELBY BAPTIST MEDICAL CENTER,Alabaster,Alabama,223,11440,53709,844805
SHOALS HOSPITAL,Muscle Shoals,Alabama,184,1605,6798,156726
SOUTH BALDWIN REGIONAL MEDICAL CENTER,Foley,Alabama,112,6438,28034,651545
SOUTHEAST ALABAMA MEDICAL CENTER,Dothan,Alabama,420,17956,94243,1305720
SPRINGHILL MEDICAL CENTER,Mobile,Alabama,184,9644,49351,513865
STRINGFELLOW MEMORIAL HOSPITAL,Anniston,Alabama,125,3559,13620,460029
THOMAS HOSPITAL,Fairhope,Alabama,129,7998,35339,469248
TRINITY MEDICAL CENTER,Birmingham,Alabama,368,11993,66077,1592344
TROY REGIONAL MEDICAL CENTER,Troy,Alabama,97,1596,4940,119851
UAB CALLAHAN EYE HOSPITAL,Birmingham,Alabama,12,67,206,89095
UAB HOSPITAL,Birmingham,Alabama,1118,43166,291044,4595650
UAB HOSPITAL HIGHLANDS,Birmingham,Alabama,73,3641,12477,288780
UAB MEDICAL WEST,Bessemer,Alabama,236,7254,35322,480646
UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,Mobile,Alabama,133,6955,40974,328142
VAUGHAN REGIONAL MEDICAL CENTER,Selma,Alabama,163,6895,22495,310775
WALKER BAPTIST MEDICAL CENTER,Jasper,Alabama,175,5992,22750,389739
WEDOWEE HOSPITAL,Wedowee,Alabama,497,627,2104,19220
WIREGRASS MEDICAL CENTER,Geneva,Alabama,185,1159,5132,42792
ARKANSAS HEART HOSPITAL,Little Rock,Arkansas,112,6588,20777,531408
ARKANSAS METHODIST MEDICAL CENTER,Paragould,Arkansas,129,4601,16340,141418
ARKANSAS SURGICAL HOSPITAL,North Little Rock,Arkansas,51,3521,7771,184334
BAPTIST HEALTH MEDICAL CENTER - LITTLE ROCK,Little Rock,Arkansas,695,28235,153670,1567165
BAPTIST HEALTH MEDICAL CENTER - NORTH LITTLE ROCK,North Little Rock,Arkansas,225,10660,50148,636944
BAPTIST HEALTH MEDICAL CENTER - STUTTGART,Stuttgart,Arkansas,49,1395,5490,54325
BAPTIST HEALTH MEDICAL CENTER-HOT SPRING COUNTY ,Malvern,Arkansas,72,1631,6038,51129
BAXTER REGIONAL MEDICAL CENTER,Mountain Home,Arkansas,197,8331,29684,431767
CENTRAL ARKANSAS VETERANS HEALTHCARE SYSTEM - JOHN L. MCCLELLAN MEMORIAL VETERANS HOSPITAL,Little Rock,Arkansas,0,0,0,
CHAMBERS MEMORIAL HOSPITAL,Danville,Arkansas,40,1856,5105,34584
CHI ST. VINCENT HOT SPRINGS,Hot Springs,Arkansas,255,11468,52385,721263
CHI ST. VINCENT INFIRMARY,Little Rock,Arkansas,432,21759,104580,1222862
CHI ST. VINCENT NORTH,Sherwood,Arkansas,58,1763,6306,100342
CONWAY REGIONAL MEDICAL CENTER,Conway,Arkansas,154,7606,32229,339930
DREW MEMORIAL HOSPITAL,Monticello,Arkansas,49,2337,7379,58795
FIVE RIVERS MEDICAL CENTER,Pocahontas,Arkansas,44,548,1632,31002
FORREST CITY MEDICAL CENTER,Forrest City,Arkansas,70,2099,7374,95219
GREAT RIVER MEDICAL CENTER,Blytheville,Arkansas,148,1864,5982,61869
HARRIS HOSPITAL,Newport,Arkansas,121,1862,5595,114403
HELENA REGIONAL MEDICAL CENTER,Helena,Arkansas,145,1713,5236,106235
JEFFERSON REGIONAL MEDICAL CENTER,Pine Bluff,Arkansas,333,8039,42382,696896
JOHNSON REGIONAL MEDICAL CENTER,Clarksville,Arkansas,80,2070,6078,65400
LEVI HOSPITAL,Hot Springs National Park,Arkansas,52,0,0,10269
MAGNOLIA HOSPITAL,Magnolia,Arkansas,49,1360,3658,42190
MEDICAL CENTER OF SOUTH ARKANSAS,El Dorado,Arkansas,130,4737,15660,391969
MENA REGIONAL HEALTH SYSTEM,Mena,Arkansas,65,1363,4496,62923
MERCY HOSPITAL FORT SMITH,Fort Smith,Arkansas,336,11654,60945,583964
MERCY HOSPITAL NORTHWEST ARKANSAS,Rogers,Arkansas,160,9759,34438,558508
NATIONAL PARK MEDICAL CENTER,Hot Springs,Arkansas,163,5873,27671,722150
NEA BAPTIST MEMORIAL HOSPITAL,Jonesboro,Arkansas,100,6710,27019,403753
NORTH ARKANSAS REGIONAL MEDICAL CENTER,Harrison,Arkansas,134,4062,14242,227578
NORTH METRO MEDICAL CENTER,Jacksonville,Arkansas,78,1324,4084,69623
NORTHWEST MEDICAL CENTER - BENTONVILLE,Bentonville,Arkansas,121,5192,22923,238959
NORTHWEST MEDICAL CENTER - SPRINGDALE,Springdale,Arkansas,299,16418,66475,1456501
OUACHITA COUNTY MEDICAL CENTER,Camden,Arkansas,87,1990,6751,81893
PHYSICIANS' SPECIALTY HOSPITAL,Fayetteville,Arkansas,20,1061,1882,102209
SAINT MARY'S REGIONAL MEDICAL CENTER,Russellville,Arkansas,153,5678,23130,463778
SALINE MEMORIAL HOSPITAL,Benton,Arkansas,142,4891,19847,220497
SILOAM SPRINGS REGIONAL HOSPITAL,Siloam Springs,Arkansas,44,2133,6736,136630
SPARKS REGIONAL MEDICAL CENTER,Fort Smith,Arkansas,272,16737,76734,1245950
ST. BERNARDS MEDICAL CENTER,Jonesboro,Arkansas,362,16752,71900,529761
SUMMIT MEDICAL CENTER,Van Buren,Arkansas,103,1750,5347,146775
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES (UAMS) MEDICAL CENTER,Little Rock,Arkansas,439,24579,138896,1427184
VETERANS HEALTH CARE SYSTEM OF THE OZARKS,Fayetteville,Arkansas,0,0,0,
WADLEY REGIONAL MEDICAL CENTER AT HOPE,Hope,Arkansas,79,1241,6334,52390
WASHINGTON REGIONAL MEDICAL CENTER,Fayetteville,Arkansas,226,12237,54508,846108
WHITE COUNTY MEDICAL CENTER NORTH,Searcy,Arkansas,438,12849,45464,586773
WHITE COUNTY MEDICAL CENTER SOUTH,Searcy,Arkansas,0,0,0,
WHITE RIVER MEDICAL CENTER,Batesville,Arkansas,187,7533,33817,483597
WILLOW CREEK WOMEN'S HOSPITAL,Johnson,Arkansas,30,3357,11571,38243
LBJ TROPICAL MEDICAL CENTER,Pago Pago,American Samoa,0,0,0,
ARIZONA HEART HOSPITAL,Phoenix,Arizona,0,0,0,
ARIZONA ORTHOPEDIC SURGICAL HOSPITAL,Chandler,Arizona,24,557,2020,123871
ARIZONA SPINE AND JOINT HOSPITAL,Mesa,Arizona,23,776,1581,66164
ARROWHEAD HOSPITAL,Glendale,Arizona,217,10529,42720,713190
BANNER BAYWOOD MEDICAL CENTER,Mesa,Arizona,340,18852,79857,1245188
BANNER BOSWELL MEDICAL CENTER,Sun City,Arizona,501,17268,71556,1349334
BANNER CASA GRANDE MEDICAL CENTER,Casa Grande,Arizona,174,7665,33030,443545
BANNER DEL E. WEBB MEDICAL CENTER,Sun City West,Arizona,404,15054,56822,1216347
BANNER DESERT MEDICAL CENTER,Mesa,Arizona,639,38265,146165,2101838
BANNER ESTRELLA MEDICAL CENTER,Phoenix,Arizona,214,16474,61197,1215730
BANNER GATEWAY MEDICAL CENTER,Gilbert,Arizona,165,13263,52511,1071713
BANNER GOLDFIELD MEDICAL CENTER ,"Apache Junction, AZ",Arizona,30,595,1277,60939
BANNER GOOD SAMARITAN MEDICAL CENTER,Phoenix,Arizona,723,30550,149899,2315996
BANNER HEART HOSPITAL,Mesa,Arizona,111,5434,21138,613941
BANNER IRONWOOD MEDICAL CENTER,San Tan Valley,Arizona,53,2460,7668,209565
BANNER THUNDERBIRD MEDICAL CENTER,Glendale,Arizona,561,37304,133539,1849474
CANCER TREATMENT CENTERS OF AMERICA AT WESTERN REGIONAL MEDICAL CENTER,Goodyear,Arizona,0,0,0,
CARONDELET HEART & VASCULAR INSTITUTE,Tucson,Arizona,60,1162,4175,128262
CHANDLER REGIONAL MEDICAL CENTER,Chandler,Arizona,243,17832,73875,1795634
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,Chinle,Arizona,60,2203,6120,
FLAGSTAFF MEDICAL CENTER,Flagstaff,Arizona,267,13081,56356,903809
FLORENCE HOSPITAL AT ANTHEM,Florence,Arizona,36,718,1978,81065
FORT DEFIANCE INDIAN HOSPITAL,Fort Defiance,Arizona,50,2320,10257,
FORT YUMA INDIAN HOSPITAL,Yuma,Arizona,0,0,0,
GILBERT HOSPITAL,Gilbert,Arizona,19,661,2101,111050
HAVASU REGIONAL MEDICAL CENTER,Lake Havasu City,Arizona,168,6483,28025,680357
HU HU KAM MEMORIAL HOSPITAL,Sacaton,Arizona,12,24,59,
JOHN C. LINCOLN DEER VALLEY HOSPITAL,Phoenix,Arizona,193,12844,46110,1033319
JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,Phoenix,Arizona,250,16000,71504,1354004
KINGMAN REGIONAL MEDICAL CENTER,Kingman,Arizona,216,9034,41754,867228
LA PAZ REGIONAL HOSPITAL,Parker,Arizona,25,556,2221,59320
MARICOPA MEDICAL CENTER,Phoenix,Arizona,464,16100,70322,2297524
MARYVALE HOSPITAL MEDICAL CENTER,Phoenix,Arizona,232,4781,18760,274844
MAYO CLINIC HOSPITAL,Phoenix,Arizona,268,12005,59258,1698927
MERCY GILBERT MEDICAL CENTER,Gilbert,Arizona,212,12868,49901,1181876
MOUNT GRAHAM REGIONAL MEDICAL CENTER,Safford,Arizona,49,1649,5324,129670
MOUNTAIN VISTA MEDICAL CENTER,Mesa,Arizona,187,8515,37657,883836
NORTHERN ARIZONA VA HEALTH CARE SYSTEM,Prescott,Arizona,0,0,0,
NORTHWEST MEDICAL CENTER,Tucson,Arizona,289,18065,66076,1423422
ORO VALLEY HOSPITAL,Oro Valley,Arizona,144,4721,14934,466550
ORTHOPEDIC AND SPINE INPATIENT SURGICAL HOSPITAL,Phoenix,Arizona,64,3384,8141,156686
PARADISE VALLEY HOSPITAL,Phoenix,Arizona,136,4956,18644,335037
PARKER INDIAN HOSPITAL,Parker,Arizona,20,147,427,
PAYSON REGIONAL MEDICAL CENTER,Payson,Arizona,39,2164,6596,292868
PHOENIX BAPTIST HOSPITAL,Phoenix,Arizona,260,11191,43424,783831
PHOENIX INDIAN MEDICAL CENTER,Phoenix,Arizona,115,2364,9437,
PHOENIX VA HEALTH CARE SYSTEM,Phoenix,Arizona,0,0,0,
SAINT JOSEPH'S HOSPITAL,Tucson,Arizona,463,14778,72501,1139489
SAINT JOSEPH'S HOSPITAL AND MEDICAL CENTER,Phoenix,Arizona,584,27968,139319,2883361
SAINT LUKE'S MEDICAL CENTER,Phoenix,Arizona,216,8381,33019,860552
SAINT MARY'S HOSPITAL,Tucson,Arizona,372,10577,44542,858753
SAN CARLOS HOSPITAL,San Carlos,Arizona,8,81,262,
SCOTTSDALE HEALTHCARE OSBORN MEDICAL CENTER,Scottsdale,Arizona,366,15488,74006,1616575
SCOTTSDALE HEALTHCARE SHEA MEDICAL CENTER,Scottsdale,Arizona,427,19166,88780,1799681
SCOTTSDALE HEALTHCARE THOMPSON PEAK HOSPITAL ,Scottsdale,Arizona,92,5161,18360,504353
SELLS HOSPITAL,Sells,Arizona,14,411,1590,
SIERRA VISTA REGIONAL HEALTH CENTER,Sierra Vista,Arizona,88,4542,14843,263883
SOUTHERN ARIZONA VA HEALTH CARE SYSTEM,Tucson,Arizona,0,0,0,
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,Show Low,Arizona,89,4001,13601,373212
SURGICAL SPECIALTY HOSPITAL OF ARIZONA,Phoenix,Arizona,33,1223,2034,71250
TEMPE SAINT LUKE'S HOSPITAL,Tempe,Arizona,65,3320,10215,153689
TEMPE SAINT LUKE'S HOSPITAL,Tempe,Arizona,0,0,0,
THE UNIVERSITY OF ARIZONA MEDICAL CENTER - SOUTH CAMPUS,Tucson,Arizona,249,6697,34504,429881
THE UNIVERSITY OF ARIZONA MEDICAL CENTER - UNIVERSITY CAMPUS,Tucson,Arizona,479,24370,133477,2593658
TUBA CITY INDIAN MEDICAL CENTER,Tuba City,Arizona,73,2576,10520,
TUCSON MEDICAL CENTER,Tucson,Arizona,556,28053,120732,1466639
VALLEY VIEW MEDICAL CENTER,Fort Mohave,Arizona,83,2750,10953,310160
VERDE VALLEY MEDICAL CENTER,Cottonwood,Arizona,110,4287,16440,512704
WEST VALLEY HOSPITAL,Goodyear,Arizona,164,10027,35282,555212
WESTERN ARIZONA REGIONAL MEDICAL CENTER,Bullhead City,Arizona,139,6450,28170,894905
WHITERIVER INDIAN HOSPITAL,Whiteriver,Arizona,40,1171,4860,
YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS,Prescott Valley,Arizona,56,3753,10686,208877
YAVAPAI REGIONAL MEDICAL CENTER-WEST CAMPUS,Prescott,Arizona,134,6920,24298,499914
YUMA REGIONAL MEDICAL CENTER,Yuma,Arizona,405,14373,68397,1092735
USC VERDUGO HILLS HOSPITAL,Glendale,California,158,4288,17027,323721
60TH MEDICAL GROUP - DAVID GRANT USAF MEDICAL CENTER,Travis Air Force Base,California,0,0,0,
ADVENTIST MEDICAL CENTER - HANFORD,Hanford,California,199,11678,42136,859549
ADVENTIST MEDICAL CENTER - REEDLEY,Reedley,California,49,2184,6177,126029
ADVENTIST MEDICAL CENTER-SELMA,Selma,California,0,0,0,
ALAMEDA HOSPITAL,Alameda,California,238,2838,11559,314387
ALHAMBRA HOSPITAL MEDICAL CENTER,Alhambra,California,144,3553,14865,434414
ALTA BATES SUMMIT MEDICAL CENTER - ASHBY CAMPUS ,Berkeley,California,458,16631,85672,1967288
ALTA BATES SUMMIT MEDICAL CENTER - HERRICK CAMPUS,Berkeley,California,0,0,0,
ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS,Oakland,California,419,11180,51058,1507713
ALVARADO HOSPITAL MEDICAL CENTER,San Diego,California,304,6508,27316,610733
ANAHEIM REGIONAL MEDICAL CENTER,Anaheim,California,223,12495,55266,1440357
ANTELOPE VALLEY HOSPITAL,Lancaster,California,399,21093,103355,1286524
ANTIOCH MEDICAL CENTER,Antioch,California,140,7894,27674,
ARROWHEAD REGIONAL MEDICAL CENTER,Colton,California,436,17977,110352,1402770
ARROYO GRANDE COMMUNITY HOSPITAL,Arroyo Grande,California,67,2273,7578,286786
BAKERSFIELD HEART HOSPITAL,Bakersfield,California,47,3946,15922,364472
BAKERSFIELD MEMORIAL HOSPITAL,Bakersfield,California,426,16113,70569,1282797
BARSTOW COMMUNITY HOSPITAL,Barstow,California,30,2390,7415,335004
BARTON MEMORIAL HOSPITAL,South Lake Tahoe,California,111,2184,7543,278272
BEAR VALLEY COMMUNITY HOSPITAL,Big Bear Lake,California,30,166,459,37780
BEVERLY HOSPITAL,Montebello,California,214,9850,41251,351392
CALIFORNIA HOSPITAL MEDICAL CENTER,Los Angeles,California,304,16769,71987,1027191
CALIFORNIA MENS COLONY HOSPITAL,San Luis Obispo,California,0,0,0,
CALIFORNIA PACIFIC MEDICAL CENTER - CALIFORNIA CAMPUS,San Francisco,California,0,0,0,
CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS,San Francisco,California,163,3163,15537,3800685
CALIFORNIA PACIFIC MEDICAL CENTER - PACIFIC CAMPUS,San Francisco,California,536,20291,99897,3800685
CALIFORNIA PACIFIC MEDICAL CENTER - SAINT LUKE'S CAMPUS,San Francisco,California,199,3397,16243,3800685
CEDARS-SINAI MEDICAL CENTER,Los Angeles,California,896,54800,255987,10589888
CENTINELA HOSPITAL MEDICAL CENTER,Inglewood,California,345,18118,69748,1327896
CENTRAL VALLEY GENERAL HOSPITAL,Hanford,California,36,2148,7052,120930
CHAPMAN MEDICAL CENTER,Orange,California,114,2071,8322,169063
CHINESE HOSPITAL,San Francisco,California,54,1902,11255,221484
CHINO VALLEY MEDICAL CENTER,Chino,California,126,5134,14397,360851
CITRUS VALLEY MEDICAL CENTER - INTER-COMMUNITY CAMPUS,Covina,California,518,24462,104880,1165206
CITRUS VALLEY MEDICAL CENTER - QUEEN OF THE VALLEY CAMPUS,West Covina,California,0,0,0,
CITRUS VALLEY MEDICAL CENTER - QUEEN OF THE VALLEY CAMPUS,West Covina,California,325,17166,93266,661125
CITY OF HOPE NATIONAL MEDICAL CENTER,Duarte,California,186,6010,60034,2219451
CLOVIS COMMUNITY MEDICAL CENTER,Clovis,California,152,11410,48000,771402
COALINGA REGIONAL MEDICAL CENTER,Coalinga,California,136,341,1031,33733
COAST PLAZA HOSPITAL,Norwalk,California,117,3295,13782,207598
COASTAL COMMUNITIES HOSPITAL,Santa Ana,California,178,3603,17264,276512
COLLEGE HOSPITAL COSTA MESA,Costa Mesa,California,122,3129,39433,105228
COLLEGE MEDICAL CENTER,Long Beach,California,157,7320,37827,451272
COLUSA REGIONAL MEDICAL CENTER,Colusa,California,48,859,2951,67893
COMMUNITY HOSPITAL OF HUNTINGTON PARK,Huntington Park,California,81,4038,14382,296522
COMMUNITY HOSPITAL OF LONG BEACH,Long Beach,California,158,2840,11532,287994
COMMUNITY HOSPITAL OF SAN BERNARDINO,San Bernardino,California,347,7754,32703,808634
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,Monterey,California,216,10188,47370,1272569
COMMUNITY MEMORIAL HOSPITAL,Ventura,California,201,11957,50353,1347291
COMMUNITY REGIONAL MEDICAL CENTER,Fresno,California,793,34309,207389,3049546
CONTRA COSTA REGIONAL MEDICAL CENTER,Martinez,California,146,7758,37459,531284
CORONA REGIONAL MEDICAL CENTER,Corona,California,239,6887,28337,537559
DAMERON HOSPITAL,Stockton,California,202,8845,32745,1024339
DELANO REGIONAL MEDICAL CENTER,Delano,California,106,2473,13377,209396
DESERT REGIONAL MEDICAL CENTER,Palm Springs,California,347,17298,74382,2224879
DESERT VALLEY HOSPITAL,Victorville,California,148,10093,33535,460079
DOCTORS HOSPITAL OF MANTECA,Manteca,California,73,3780,15881,632785
DOCTORS HOSPITAL OF WEST COVINA,West Covina,California,46,83,302,37030
DOCTORS MEDICAL CENTER - SAN PABLO CAMPUS,San Pablo,California,176,5434,24314,614981
DOCTORS MEDICAL CENTER OF MODESTO,Modesto,California,445,18592,99347,3488594
DOMINICAN HOSPITAL,Santa Cruz,California,272,12063,50259,1407324
EAST LOS ANGELES DOCTORS HOSPITAL,Los Angeles,California,127,3728,18447,302815
EAST VALLEY HOSPITAL MEDICAL CENTER,Glendora,California,128,1052,5950,68912
EDEN MEDICAL CENTER,Castro Valley,California,130,8588,38503,999868
EISENHOWER MEDICAL CENTER,Rancho Mirage,California,380,18333,72405,2466790
EL CAMINO HOSPITAL LOS GATOS,Los Gatos,California,0,0,0,
EL CAMINO HOSPITAL MOUNTAIN VIEW,Mountain View,California,421,17716,82490,2462558
EL CENTRO REGIONAL MEDICAL CENTER,El Centro,California,165,6347,26453,596996
EMANUEL MEDICAL CENTER,Turlock,California,354,9359,42014,1248475
ENCINO HOSPITAL MEDICAL CENTER,Encino,California,145,1744,7359,189496
ENLOE MEDICAL CENTER,Chico,California,298,13967,61456,1573776
FAIRMONT HOSPITAL,San Leandro,California,0,0,0,
FAIRVIEW DEVELOPMENTAL CENTER,Costa Mesa,California,30,48,610,125647
FALLBROOK HOSPITAL,Fallbrook,California,133,2258,6655,206784
FEATHER RIVER HOSPITAL,Paradise,California,100,5119,22079,1010038
FOOTHILL PRESBYTERIAN HOSPITAL,Glendora,California,105,4978,19436,267103
FOUNTAIN VALLEY REGIONAL HOSPITAL AND MEDICAL CENTER,Fountain Valley,California,400,17543,89311,1863150
FREMONT MEDICAL CENTER,Yuba City,California,132,6249,25708,129517
FRENCH HOSPITAL MEDICAL CENTER,San Luis Obispo,California,112,4247,15231,507702
FRESNO HEART & SURGICAL HOSPITAL,Fresno,California,57,3208,10903,280402
FRESNO SURGICAL HOSPITAL,Fresno,California,27,2208,3807,222066
GARDEN GROVE HOSPITAL AND MEDICAL CENTER,Garden Grove,California,140,6017,25764,409555
GARFIELD MEDICAL CENTER,Monterey Park,California,210,12442,58800,1569306
GLENDALE ADVENTIST MEDICAL CENTER,Glendale,California,498,17488,81235,2005811
GLENDALE MEMORIAL HOSPITAL & HEALTH CENTER,Glendale,California,255,9960,49280,942762
GOLETA VALLEY COTTAGE HOSPITAL,Santa Barbara,California,112,1490,3747,180215
GOOD SAMARITAN HOSPITAL,Los Angeles,California,313,12956,67903,1316340
GOOD SAMARITAN HOSPITAL,San Jose,California,376,15453,77481,2875102
