mco_id,owner_id,company,al,ak,ar,az,ca,co,ct,dc,de,fl,ga,hi,ia,id,il,indiana,ks,ky,la,ma,me,mi,md,mn,ms,mo,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,ri,sc,sd,tn,tx,ut,va,vt,wa,wi,wv,wy,pr,foreign
,95,Arkansas BlueCross BlueShield,0,0,628433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1093,,Assurant Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,,"Athens Area Health Plan Select, Inc.",0,0,0,0,0,0,0,0,0,0,22368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1284,,ATRIO Health Plans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
266,,AultCare Insurance Company,0,0,0,0,0,0,11,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,65,0,0,0,0,422703,0,0,18,0,67,0,0,0,0,0,0,0,0,97,0,0,
352,,"Avera Health Plans, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,2225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,64975,0,0,0,0,0,0,0,0,0,0,
168,,AvMed,0,0,0,0,0,0,0,0,0,297439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,,Bienvivir Senior Health Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789,0,0,0,0,0,0,0,0,
772,,Blue Cross & Blue Shield of Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
695,,Blue Cross & Blue Shield of Rhode Island,249,2,97,893,2362,794,5860,83,143,5580,1039,14,66,36,1364,315,118,159,181,43779,943,345,1004,258,33,404,64,2125,1,19,1220,1527,28,250,3186,780,128,97,1172,340681,778,20,658,3210,73,1235,286,378,280,59,46,31,1
10,,Blue Cross and Blue Shield of Alabama,2092382,1368,16581,9237,38204,8176,4508,239,865,73341,78609,171,16375,3762,31508,38833,4998,44906,21692,8185,2302,22748,7993,10637,43584,19832,1725,58389,704,4077,2966,9783,3604,5024,20194,37536,5704,4245,25217,1342,31565,1286,56913,83497,3711,33161,706,9770,12736,6920,1480,36,
,97,"Blue Cross and Blue Shield of Florida, Inc.",0,0,0,0,0,0,0,0,0,3097506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771,,Blue Cross and Blue Shield of Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
635,,Blue Cross and Blue Shield of Kansas City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227814,0,0,0,0,0,0,0,0,422671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
345,,Blue Cross and Blue Shield of Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
281,,Blue Cross and Blue Shield of Minnesota,0,0,0,114,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2425936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,
380,,Blue Cross and Blue Shield of Nebraska,3585,286,5069,2672,8054,7181,595,108,215,4610,4703,31,20449,4107,7245,4026,5908,3650,1470,881,273,4810,682,5199,671,10777,723,2849,698,515503,197,1416,388,1385,2906,6113,3177,4861,4924,99,1380,2440,4680,13389,2841,3305,92,8594,2923,754,1057,3,46
126,,Blue Cross and Blue Shield of North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2751851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
558,,Blue Cross and Blue Shield of Vermont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195743,0,0,0,0,0,
753,,Blue Cross and Blue Shield of Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66868,0,
708,,Blue Cross Blue Shield of Arizona,0,0,0,575747,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,
420,,Blue Cross Blue Shield of Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2756760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
361,,Blue Cross Blue Shield of Michigan,1506,0,112,2121,1535,454,36,21,0,8864,570,29,12,34,487,7626,23,882,11,382,31,2177615,51,259,60,109,23,1328,0,0,0,524,150,542,23,2000,40,121,588,0,1038,28,2302,743,33,322,0,221,307,0,0,0,
773,,Blue Cross Blue Shield of North Dakota,587,69,184,2948,1245,2227,41,7,9,879,406,16,2788,1067,865,268,550,120,364,60,25,678,47,42834,968,3451,5210,932,347662,2672,13,62,484,547,246,380,619,1215,843,3,75,8505,1410,4057,710,6,425,1596,1498,197,2679,0,3
396,,"Blue Cross of Idaho Health Service, Inc.",246,13,240,4225,13970,2631,99,2,10,1635,519,8,63,364141,490,139,368,34,4600,242,335,333,99,2731,50,279,164,460,719,227,97,108,3659,1281,136,188,487,8123,254,14,82,120,140,7403,2698,6,3344,11082,212,16,1352,0,0
727,,Blue Cross of Northeastern Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545470,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,,Blue Shield of California,0,0,0,0,2941465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
398,,BlueCross BlueShield of South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662023,0,0,0,0,0,0,0,0,0,0,0,
450,,BlueCross BlueShield of Tennessee,34529,1514,14128,12314,20121,8926,2072,582,790,28293,41470,69,3783,2943,20816,15256,3986,31721,11455,3705,4101,11215,4994,2460,37681,14350,1123,22713,245,2249,1306,3750,8239,2450,6635,22813,8420,4313,10582,913,16505,1140,2583822,51243,3648,191,23371,7123,3984,8737,2040,20,42
277,,BlueCross BlueShield of Western New York and BlueShield of Northeastern New York,1779,134,466,847,3941,465,2152,37,95,6931,2006,14,278,1875,2273,1194,404,876,826,1686,211,2623,414,733,1071,742,33,3560,109,85,271,1906,148,324,537011,3387,348,412,11678,80,2005,43,869,3817,1879,3365,457,1079,1456,533,57,11,223
448,,"Bluegrass Family Health, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,112,"Boston Medical Center Health Plan, Inc. (BMCHP)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290600,0,0,0,0,0,0,0,0,0,0,43456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,,Brand New Day,0,0,0,0,3268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1721,,Brandman Centers for Senior Care,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1173,,C&O Employees Hospital Association,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,435,0,0,0,577,0,0,
399,,CalOPTIMA,0,0,0,0,470748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1609,,CalViva Health,0,0,0,0,213967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
728,,Capital BlueCross,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,,"Capital District Physicians' Health Plan, Inc. (CDPHP)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,18,Care 1st Health Plan,0,0,0,69329,158023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1688,,Care Access PSN,0,0,0,0,0,0,0,0,0,2713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1374,,Care N' Care Health Plan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7562,0,0,0,0,0,0,0,0,
1317,,"Care Resources, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
969,,"Care Wisconsin Health Plan, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1425,0,0,0,
368,,CareFirst BlueCross BlueShield,0,0,0,0,0,0,0,846419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2209229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256033,0,0,0,0,0,0,0
85,,CareOregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720,,CarePoint Health Plans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
257,,CareSource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15288,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,971333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,110,Carilion Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14219,0,0,0,0,0,0,
1661,,Carolina Medical Homes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17045,0,0,0,0,0,0,0,0,0,0,0,
1673,,Carolina SeniorCare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
676,,"Cascade Health Alliance, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1375,,Catholic Health LIFE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1318,,"Catholic Special Needs Plan, LLC/ArchCare Advantage",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
569,,CenCal Health,0,0,0,0,111203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1543,,Centene Corporation,0,0,0,6968,90204,0,0,0,0,204463,306338,0,0,0,22589,225604,134480,0,151694,0,0,0,0,0,77502,58439,0,0,0,0,34364,0,0,0,0,148757,0,0,0,0,83508,0,0,923814,0,0,0,80570,38472,0,0,0,
147,,Center for Elders Independence,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1027,,CenterLight Healthcare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1377,,CentraCare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
164,,Central California Alliance for Health,0,0,0,0,225152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1158,,"Central Health Plan of California, Inc.",0,0,0,0,12982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1376,,Cherokee Elder Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1151,,Children's Community Health Plan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145000,0,0,0,
1510,,Children's Medical Services,0,0,0,0,0,0,0,0,0,30958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
152,,Chinese Community Health Plan,0,0,0,0,15208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1692,,Christus Health Plan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8725,0,0,0,0,0,0,0,0,
1224,,Cigna Corporation,101310,18502,66044,398355,1024233,464016,364506,27594,36366,1119999,596442,3165,46475,38066,502729,401247,100186,76866,145617,259851,81169,119767,354416,120350,99748,256511,127035,405057,8864,28950,141614,461780,33654,142075,670550,300888,86971,110091,348981,27194,177824,9312,810331,1269580,112909,422488,71149,215410,76799,44846,74545,741,70430
82,,Colorado Access,0,0,0,0,0,51479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105,,Colorado Choice Health Plans,0,0,0,0,0,10145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1563,,Colville Federated Tribes/Colville Indian Health Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,0,0,0,0,
1036,,"Commonwealth Care Alliance, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1791,,Community Care Alliance of Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
820,,"Community Care Health Plan, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11856,0,0,0,
1476,,Community Care of North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1319,,Community Eldercare of San Diego,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
216,,Community First Health Plans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130252,0,0,0,0,0,0,0,0,
314,,"Community Health Choice, Inc. (CHC)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243609,0,0,0,0,0,0,0,0,
144,,Community Health Group,0,0,0,0,155736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90,,Community Health Plan of Washington (CHPW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299649,0,0,0,0,0
483,,CommunityCare Managed Healthcare Plans of Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1594,,Complete Senior Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
645,,Comprehensive Medical and Dental Program (CMDP),0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1170,,Consolidated Association of Railroad Employees Health Care (CARE),0,0,0,57,16,74,0,0,0,0,0,0,51,0,56,0,927,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,215,0,0,0,55,0,0,0,0,0,0,952,0,0,0,0,0,0,0,0,
148,,Contra Costa Health Plan,0,0,0,0,123341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
741,,Cook Children's Health Plan (CCHP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111528,0,0,0,0,0,0,0,0,
502,,"Cox HealthPlans, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1674,,CrestPoint Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,
353,,DAKOTACARE,0,0,0,11,16,8,0,0,0,7,1,1,1786,17126,3,1,0,0,0,0,0,0,0,510,0,1,20,2,21,11,0,0,2,4,0,0,1,1,0,0,0,64624,0,6,0,0,0,2,2,0,31,0,0
433,,Dean Health Plan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264419,0,0,0,
